ref_id,category,title,url,doi,bibcode,version_or_date,checked_date,authoritative_for,notes
nicer_heasarc_status,mission_status,NICER HEASARC mission and analysis page,https://heasarc.gsfc.nasa.gov/docs/nicer/,,,,2026-05-24,NICER mission status archive access and analysis links,
nasa_nicer_status_updates,mission_status,NASA NICER status updates,https://www.nasa.gov/missions/station/nicer-status-updates/,,,,2026-05-24,NICER current status and pointing-performance updates,
nicer_instrument_heasarc,instrument_spec,NICER instrument page,https://heasarc.gsfc.nasa.gov/docs/heasarc/missions/nicer.html,,,,2026-05-24,NICER energy range and timing capability,
rxte_pca_heasarc,instrument_spec,RXTE PCA instrument page,https://heasarc.gsfc.nasa.gov/docs/xte/PCA.html,,,,2026-05-24,RXTE PCA energy range and timing capability,
minbar_paper,catalog,Multi-INstrument Burst ARchive paper,https://arxiv.org/abs/2003.00685,10.3847/1538-4365/ab9f2e,,2020,2026-05-24,MINBAR catalog size composition and RXTE validation context,
minbar_home,catalog,MINBAR project home,https://burst.sci.monash.edu/wiki/index.php?n=MINBAR.Home,,,,2026-05-24,MINBAR project access and catalog context,
stingray_docs,software_doc,Stingray documentation,https://docs.stingray.science/en/stable/,,,,2026-05-24,Python timing analysis capabilities and supported workflows,
simbad,catalog,SIMBAD astronomical database,https://simbad.u-strasbg.fr/simbad/,,,,2026-05-24,Source coordinates object types aliases and bibliography links,
bo_4u_1636_536_581hz,literature,4U 1636-536 581 Hz burst oscillation reference,https://academic.oup.com/mnras/article/383/1/387/1070628,,,,2026-05-24,4U 1636-536 burst-oscillation frequency seed,
bo_4u_1728_34_363hz,literature,4U 1728-34 363 Hz burst oscillation reference,https://academic.oup.com/mnras/article/455/2/2004/1123266,,,,2026-05-24,4U 1728-34 burst-oscillation frequency seed,
bo_4u_1702_429_330hz,literature,4U 1702-429 near-330 Hz burst oscillation reference,https://ntrs.nasa.gov/citations/19990023258,,,,2026-05-24,4U 1702-429 burst-oscillation frequency seed,
bo_ks_1731_260_524hz,literature,KS 1731-260 near-524 Hz burst oscillation reference,https://arxiv.org/abs/astro-ph/0003229,,,,2026-05-24,KS 1731-260 burst-oscillation frequency seed,
